0,4900,0,0,100,0
6,4207,21,694,71,2
6,3507,21,1395,71,2
10,2965,19,1575,426,5
10,2544,19,1218,1205,5
20,2208,20,948,1799,5
92,1862,213,695,2125,14
183,1449,384,558,2399,27
356,1021,516,385,2666,56
602,660,625,212,2796,105
0,9800,0,0,200,0
7,9530,30,271,162,1
7,8921,30,879,162,1
7,8417,30,1384,162,1
7,7880,30,1920,162,1
14,7446,30,2354,155,1
14,6966,30,2834,155,1
14,6532,30,3269,155,1
14,6112,30,3688,155,1
14,5709,30,4091,155,1
19,5415,29,3788,747,2
19,5103,29,3314,1534,2
19,4810,29,2941,2201,2
25,4574,29,2626,2743,3
25,4325,29,2368,3250,3
25,4127,29,2127,3689,3
25,3919,29,1924,4102,3
45,3703,216,1745,4282,9
120,3431,645,1555,4225,24
178,3195,825,1402,4367,33
222,2980,825,1246,4684,43
244,2814,825,1130,4936,51
334,2559,947,1024,5078,58
430,2357,1127,905,5110,71
494,2166,1127,826,5300,87
560,1988,1127,762,5466,97
681,1815,1218,681,5501,104
809,1613,1269,613,5577,120
896,1470,1268,506,5707,152
1032,1294,1340,450,5714,170
1191,1118,1345,402,5743,201
1395,975,1376,315,5717,222
1553,846,1379,272,5706,245
1790,683,1390,264,5593,280
2012,556,1376,204,5539,311
2276,427,1367,149,5424,355
0,9800,0,0,200,0
10,8363,28,1440,161,1
10,7419,28,2384,161,1
10,6705,28,3097,161,1
10,6088,28,3712,161,1
10,5543,28,4257,161,1
10,5044,28,4757,161,1
16,4619,28,5181,152,4
16,4207,28,5593,152,4
16,3791,28,6009,152,4
16,3395,28,6405,152,4
16,3031,28,6769,152,4
16,2688,28,7112,152,4
16,2356,28,7445,152,4
16,2043,28,7757,152,4
16,1733,28,8067,152,4
16,1436,28,8364,152,4
16,1154,28,8646,152,4
16,889,28,8911,152,4
16,625,28,9175,152,4
16,399,28,9401,152,4
16,160,28,9641,152,4
20,1,28,8929,1018,4
20,1,28,7565,2382,4
20,1,28,6696,3252,4
20,1,28,6023,3925,4
20,1,28,5442,4505,4
20,1,28,4964,4983,4
21,1,28,4535,5411,4
21,1,28,4137,5809,4
21,1,28,3747,6199,4
21,1,28,3368,6578,4
21,1,28,3008,6938,4
21,1,28,2658,7288,4
21,1,28,2325,7621,4
21,1,28,2007,7939,4
21,1,28,1697,8249,4
21,1,28,1403,8543,4
21,1,28,1143,8803,4
21,1,28,887,9059,4
21,1,28,635,9311,4
21,1,28,383,9563,4
21,1,28,147,9799,4
0,9800,0,0,200,0
1,9271,40,531,159,0
1,8685,40,1118,159,0
1,8120,40,1683,159,0
1,7613,40,2187,159,0
8,7157,40,2643,152,0
8,6759,40,3041,152,0
8,6298,40,3503,152,0
8,5881,40,3920,152,0
11,5539,40,4136,273,1
11,5219,40,3597,1132,1
11,4954,40,3216,1778,1
11,4706,40,2949,2293,1
11,4504,40,2665,2778,2
11,4299,40,2476,3173,2
11,4105,40,2265,3577,2
11,3927,40,2073,3947,2
11,3760,40,1897,4290,2
0,9800,0,0,200,0
4,9326,39,478,157,0
4,8690,39,1110,157,0
4,8146,39,1654,157,0
4,7641,39,2159,157,0
9,7193,39,2609,150,2
9,6752,39,3050,150,2
9,6336,39,3464,150,2
9,5991,39,3809,150,2
9,5625,39,4175,150,2
16,5343,38,3972,629,2
16,5051,38,3422,1471,2
16,4792,38,3008,2144,2
20,4569,38,2679,2690,4
20,4335,38,2401,3202,4
20,4112,38,2152,3674,4
20,3922,38,1956,4061,4
20,3734,38,1798,4406,4
0,9800,0,0,200,0
4,9370,39,432,157,0
4,8670,39,1130,157,0
4,8110,39,1691,157,0
4,7667,39,2133,157,0
5,7340,39,2460,156,0
5,6922,39,2879,156,0
5,6524,39,3276,156,0
5,6179,39,3621,156,0
5,5819,39,3981,156,0
12,5526,35,4187,242,0
12,5254,35,3718,981,0
12,5022,35,3317,1614,0
12,4842,35,3070,2041,0
16,4637,35,2783,2530,0
16,4461,35,2552,2936,0
16,4327,35,2378,3244,0
16,4172,35,2238,3540,0
16,4015,35,2085,3849,0
16,3873,35,1912,4164,0
0,9800,0,0,200,0
5,9512,35,288,159,1
5,8955,35,845,159,1
5,8427,35,1376,159,1
5,7928,35,1872,159,1
12,7491,35,2309,151,2
12,7028,35,2772,151,2
12,6617,35,3183,151,2
12,6224,35,3577,151,2
12,5866,35,3934,151,2
18,5585,31,4164,199,3
18,5302,31,3722,924,3
18,5058,31,3311,1580,3
18,4807,31,2962,2179,3
25,4558,31,2733,2650,4
25,4369,31,2457,3114,4
25,4184,31,2262,3495,4
25,3985,31,2087,3868,4
25,3800,31,1916,4224,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,4900,0,0,100,0
10,4900,18,0,68,4
11,4900,17,0,67,4
16,4900,15,0,64,5
16,4900,15,0,64,5
19,4900,15,0,60,7
22,4900,14,0,57,7
26,4900,13,0,54,7
28,4900,13,0,50,8
32,4900,13,0,47,8
34,4900,13,0,43,9
36,4900,12,0,42,10
39,4900,12,0,39,10
40,4900,11,0,39,10
42,4900,10,0,38,10
47,4900,9,0,33,11
48,4900,9,0,31,12
50,4900,8,0,30,12
50,4900,8,0,29,12
53,4900,7,0,27,13
54,4900,7,0,25,13
55,4900,7,0,24,13
56,4900,7,0,24,13
56,4900,7,0,24,13
58,4900,7,0,20,13
61,4900,6,0,18,14
62,4900,6,0,15,16
63,4900,6,0,15,16
64,4900,5,0,13,17
65,4900,5,0,13,17
65,4900,5,0,13,17
65,4900,5,0,13,17
66,4900,5,0,12,17
66,4900,5,0,12,17
67,4900,4,0,12,17
67,4900,3,0,12,17
0,4900,0,0,100,0
3,4461,19,439,78,0
3,3742,19,1160,78,0
6,3121,19,1739,114,1
6,2694,19,1296,984,1
6,2297,19,1042,1635,1
53,1953,169,762,2054,9
113,1561,355,597,2354,21
220,1202,519,396,2629,35
379,899,610,297,2758,57
570,662,654,238,2789,86
747,474,671,188,2805,111
931,348,678,126,2784,132
1123,262,678,86,2684,166
1303,195,669,67,2583,182
1462,155,641,40,2492,209
1616,117,622,38,2375,233
1784,87,590,30,2246,261
1922,60,565,27,2138,283
2060,48,530,12,2042,307
2201,32,509,16,1912,329
2321,22,485,10,1811,348
2447,17,464,5,1703,360
2549,12,444,5,1621,369
2650,11,419,1,1539,379
2735,6,397,5,1459,397
2823,5,380,1,1381,410
2920,4,358,1,1297,420
3010,3,331,1,1224,430
3095,2,314,1,1146,442
3163,2,301,0,1075,458
3237,2,288,0,1003,468
3299,2,273,0,947,479
3365,1,257,1,891,485
3415,0,247,1,840,494
3473,0,235,0,790,502
3526,0,224,0,740,509
3573,0,211,0,701,514
3612,0,202,0,667,519
3649,0,197,0,629,525
3688,0,191,0,593,528
3731,0,180,0,553,536
0,4900,0,0,100,0
6,3256,14,1645,79,1
6,2277,14,2625,79,1
6,1533,14,3367,79,1
6,899,14,4001,79,1
6,351,14,4549,79,1
7,1,13,4057,919,3
7,1,13,2738,2238,3
7,1,13,1821,3155,3
7,1,13,1127,3849,3
7,1,13,535,4441,3
7,1,13,6,4970,3
236,1,954,0,3765,43
460,1,909,0,3548,79
667,1,868,0,3346,119
872,1,827,0,3151,148
1072,1,780,0,2962,183
1249,1,742,0,2788,218
1422,0,697,1,2629,245
1587,0,668,0,2465,278
1753,0,634,0,2312,300
1887,0,608,0,2172,332
2023,0,582,0,2038,353
2164,0,546,0,1912,379
2304,0,511,0,1789,396
2421,0,488,0,1673,417
2517,0,466,0,1583,432
2608,0,443,0,1494,455
2713,0,426,0,1385,474
2809,0,402,0,1300,488
2890,0,387,0,1217,506
2971,0,365,0,1144,520
3054,0,345,0,1068,533
3120,0,333,0,1005,542
0,4900,0,0,100,0
4,4211,12,690,83,1
4,3483,12,1417,83,1
8,3015,12,1596,368,2
8,2513,12,1137,1328,2
24,2131,56,915,1872,3
98,1692,286,663,2245,15
234,1268,441,467,2550,40
414,903,566,293,2754,70
614,674,630,209,2766,106
766,516,664,158,2771,124
942,378,661,138,2726,154
1114,293,657,85,2667,182
1290,221,638,72,2566,210
1469,170,627,52,2452,228
1637,123,614,47,2329,248
1783,91,597,32,2214,281
1935,65,578,26,2089,307
2087,51,551,14,1965,332
2213,37,529,13,1852,354
2328,31,509,6,1749,376
2431,22,479,9,1657,401
2560,18,460,4,1540,418
2668,7,437,11,1442,432
2759,4,416,3,1369,446
2849,3,394,1,1293,460
2936,2,368,1,1222,470
3029,1,353,1,1136,479
3102,0,340,1,1065,491
3165,0,322,0,1003,508
3232,0,314,0,936,516
3287,0,294,0,895,522
3346,0,291,0,834,529
0,4900,0,0,100,0
4,4509,22,394,73,1
4,3985,22,917,73,1
7,3561,21,1319,91,1
7,3263,21,1149,560,1
7,2877,21,997,1097,1
25,2648,60,858,1406,3
59,2336,194,671,1733,8
114,2016,307,558,1979,26
172,1816,384,480,2114,34
266,1550,442,412,2274,56
372,1341,476,350,2390,71
506,1108,520,274,2494,97
732,821,551,234,2526,136
959,602,588,144,2532,176
1098,492,592,117,2498,200
1273,410,579,94,2428,214
1420,341,575,74,2354,236
1551,283,572,62,2273,259
1692,236,553,52,2178,287
1833,184,536,53,2082,311
1971,154,517,36,1979,341
2085,128,496,30,1892,366
2205,102,489,28,1787,387
2320,83,469,23,1694,410
2439,61,454,22,1595,429
2547,51,432,11,1520,438
2646,44,421,8,1428,453
2738,35,407,10,1339,471
2826,26,389,9,1267,485
2891,20,374,7,1212,496
2961,18,355,3,1153,508
3042,17,342,1,1077,521
3110,15,332,2,1003,537
3181,11,311,4,940,552
3244,9,300,3,886,557
3309,7,283,2,825,574
3381,7,266,0,762,582
